"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.388380875E0,1.553918610E0,-2.238295441E1,3.088078308E0,2.264834516E1
2.398402875E0,2.215542755E0,-1.787657547E1,3.009940796E0,1.826308637E1
2.408423875E0,1.847607880E0,-1.551538559E1,2.919229431E0,1.589536868E1
2.418445875E0,1.250200195E0,-1.553858734E1,2.185904388E0,1.574131110E1
2.428467875E0,4.893324280E-1,-1.619272705E1,1.247954865E0,1.624811518E1
2.438488875E0,-2.902464294E-1,-1.608989090E1,9.771679688E-1,1.612214903E1
2.448510875E0,-7.568261719E-1,-1.535940994E1,1.216370544E0,1.542607588E1
2.458532875E0,-8.815168762E-1,-1.422072784E1,1.303788757E0,1.430755177E1
2.468553875E0,-9.931846619E-1,-1.291993286E1,1.309177551E0,1.302401731E1
2.478575875E0,-1.113534393E0,-1.184726349E1,1.349443817E0,1.197575090E1
2.488597875E0,-1.281185760E0,-1.104208786E1,1.404529266E0,1.120454567E1
2.498618875E0,-1.451232147E0,-1.052341644E1,1.429227905E0,1.071872477E1
2.508640875E0,-1.601669312E0,-1.040770706E1,1.267713776E0,1.060626273E1
2.518662875E0,-1.710642700E0,-1.050006500E1,9.660910034E-1,1.068227482E1
2.528684875E0,-1.757944336E0,-1.035980667E1,4.816983032E-1,1.051893511E1
2.538705875E0,-1.922152863E0,-9.791588287E0,-6.126759338E-1,9.997261856E0
2.548727875E0,-2.164049835E0,-8.722511444E0,-2.641107788E0,9.367004213E0
2.558749875E0,-2.196382599E0,-7.133266296E0,-5.339396667E0,9.176967982E0
2.568770875E0,-1.944157104E0,-5.213059387E0,-7.606881409E0,9.424456472E0
2.578792875E0,-1.353485413E0,-3.661835175E0,-7.910599823E0,8.821482255E0
2.588814875E0,-4.384382629E-1,-2.920127563E0,-6.437513123E0,7.082439431E0
2.598835875E0,3.814068604E-1,-2.510279846E0,-4.586462402E0,5.242386238E0
2.608857875E0,1.006806335E0,-2.276765442E0,-2.893482971E0,3.817009769E0
2.618879875E0,1.421893158E0,-2.005080414E0,-1.454375610E0,2.856105046E0
2.628900875E0,1.697021027E0,-1.715582428E0,-3.972738647E-1,2.445593988E0
2.638922875E0,1.858235779E0,-1.621727600E0,6.032455444E-2,2.467119711E0
2.648944875E0,1.982627106E0,-1.494791565E0,1.645079041E-1,2.488428201E0
2.658965875E0,2.250569916E0,-1.426084442E0,8.232879639E-2,2.665625595E0
2.668987875E0,2.599344635E0,-1.617386627E0,-2.963836670E-2,3.061602598E0
2.679009875E0,3.171005859E0,-2.110012207E0,-3.233276367E-1,3.822560717E0
2.689030875E0,3.671415253E0,-2.780318298E0,-7.313790894E-1,4.663086442E0
2.699052875E0,4.150568848E0,-3.204386444E0,-1.124611359E0,5.362841127E0
2.709074875E0,4.787494354E0,-3.184477844E0,-1.856589203E0,6.042178812E0
2.719095875E0,4.918172607E0,-2.903063049E0,-2.494263153E0,6.231977659E0
2.729117875E0,4.484075317E0,-2.925216980E0,-2.320025482E0,5.834924513E0
2.739139875E0,4.129462738E0,-3.747457123E0,-1.713187408E0,5.833601674E0
2.749160875E0,3.776646423E0,-5.524262238E0,-1.039139099E0,6.772026399E0
2.759182875E0,3.437302094E0,-7.882757721E0,-4.288581848E-1,8.610274927E0
2.769204875E0,3.360212402E0,-1.147783173E1,-1.788780212E-1,1.196092161E1
2.779225875E0,4.337380371E0,-1.963062790E1,-7.203619995E0,2.135571495E1
2.789247875E0,6.306086426E0,-2.918705521E1,-1.364637222E1,3.283099743E1
2.799269875E0,6.687343597E0,-3.381408325E1,-1.038839722E1,3.600043871E1
2.809290875E0,6.310427399E0,-3.446013977E1,-6.941365356E0,3.571421678E1
2.819312875E0,5.222340088E0,-3.359957932E1,-4.417014771E0,3.428869472E1
2.829334875E0,1.957030334E0,-3.019266403E1,-2.318678284E0,3.034473922E1
2.839355875E0,-2.573149109E-1,-2.396127228E1,1.009351044E0,2.398390230E1
2.849377875E0,6.783892822E-1,-1.828073502E1,2.300116882E0,1.843735400E1
2.859399875E0,7.918533325E-1,-1.467578156E1,2.482737122E0,1.490535406E1
2.869420875E0,-1.075812836E0,-1.272638535E1,4.105512543E0,1.341541988E1
2.879442875E0,-1.858235779E0,-1.143546982E1,4.454287262E0,1.241223933E1
2.889464875E0,-1.915117493E0,-1.033076706E1,4.356839905E0,1.137429018E1
2.899485875E0,-2.534828796E0,-9.593400421E0,5.159021759E0,1.118365746E1
2.909507875E0,-3.115471344E0,-8.994046783E0,5.804629211E0,1.114866627E1
2.919529875E0,-3.327131195E0,-8.327482910E0,5.845793610E0,1.070467545E1
2.929551875E0,-3.321293335E0,-7.640112305E0,5.507646790E0,9.986815238E0
