"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.408737375E0,7.507937164E0,-2.960393829E0,-6.253994751E-1,8.094700525E0
1.418812375E0,6.911726990E0,-3.324137421E0,-1.019829254E0,7.737047969E0
1.428886375E0,7.000492401E0,-3.365750885E0,3.082090759E-1,7.773684179E0
1.438960375E0,7.950716400E0,-3.603007507E0,5.688171387E-1,8.747520066E0
1.449035375E0,1.014949402E1,-5.143903198E0,6.906637573E-1,1.139951689E1
1.459109375E0,1.361763199E1,-6.455326080E0,1.967807922E0,1.519813817E1
1.469183375E0,1.578108307E1,-4.725223846E0,1.663939819E0,1.655714405E1
1.479257375E0,1.763707352E1,-8.861572266E-1,-3.365301819E0,1.797712138E1
1.489332375E0,2.054717194E1,-3.589834900E0,-3.573369141E0,2.116228145E1
1.499406375E0,1.999047958E1,-6.532266083E0,9.851014709E-1,2.105374549E1
1.509480375E0,1.745205826E1,-6.583309937E0,2.104174347E0,1.877077134E1
1.519555375E0,1.423584641E1,-8.971443787E0,1.947150879E0,1.693923030E1
1.529629375E0,1.095122681E1,-9.552685089E0,1.432221680E0,1.460254841E1
1.539703375E0,9.961934052E0,-6.165229340E0,5.272036743E-1,1.172723866E1
1.549778375E0,1.135089569E1,-4.551135864E0,2.237097931E0,1.243222739E1
1.559852375E0,1.344025085E1,-5.668562164E0,3.840862885E0,1.508393741E1
1.569926375E0,1.336525681E1,-5.711822205E0,3.054997101E0,1.485220555E1
1.580000375E0,1.123324036E1,-5.791157227E0,2.591860199E0,1.290119879E1
1.590075375E0,9.749226379E0,-4.821174316E0,3.888463898E0,1.155038044E1
1.600149375E0,9.670639801E0,-3.009192352E0,3.318449249E0,1.065779612E1
1.610223375E0,1.004366409E1,-2.009421387E0,2.942880249E0,1.065708717E1
1.620298375E0,1.049332901E1,-1.783840485E0,3.176544342E0,1.110776641E1
1.630372375E0,1.061173279E1,5.463638306E-2,3.326233063E0,1.112095699E1
1.640446375E0,1.219603821E1,3.538192291E0,2.044448547E0,1.286242289E1
1.650521375E0,1.788510773E1,2.102677460E0,2.573298798E0,1.819121210E1
1.660595375E0,1.636935974E1,1.054557037E0,7.309898987E0,1.795835884E1
1.670669375E0,1.023556503E1,2.044149170E0,7.845784607E0,1.305762894E1
1.680743375E0,1.023451721E1,1.300645294E0,6.244714050E0,1.205958019E1
1.690818375E0,1.060664337E1,-6.822811890E-1,4.565805359E0,1.156775561E1
1.700892375E0,8.446036377E0,-1.119222565E0,3.749403076E0,9.308394763E0
1.710966375E0,7.398963776E0,6.258485413E-1,5.657185822E0,9.334886329E0
1.721041375E0,6.423442383E0,1.821562042E0,4.855602722E0,8.255639171E0
1.731115375E0,7.026538239E0,-3.468287659E-1,1.285826111E-1,7.036267711E0
1.741189375E0,5.957311707E0,-3.714226227E0,1.107995911E0,7.107228304E0
1.751264375E0,2.708018646E0,-3.678600311E0,1.396895142E0,4.776691457E0
1.761338375E0,2.102827148E0,-3.537743225E0,7.336244202E-1,4.180396385E0
1.771412375E0,1.952090607E0,-4.178111572E0,-3.721261597E-1,4.626635054E0
1.781486375E0,1.858834534E0,-4.746629333E0,-2.221380615E-1,5.102460306E0
1.791561375E0,1.147364044E0,-5.033133545E0,-2.673440552E-1,5.169173084E0
1.801635375E0,9.864486694E-1,-3.996688843E0,-3.405418396E-1,4.130686556E0
1.811709375E0,6.227050781E-2,-2.508932648E0,3.628454590E-1,2.535799179E0
1.821784375E0,8.382568359E-1,-2.794389038E0,5.044509888E-2,2.917846694E0
1.831858375E0,4.384083252E0,-6.315516815E0,8.663983154E-1,7.736703732E0
1.841932375E0,6.969656525E0,-5.855373688E0,2.758014679E0,9.511475073E0
1.852007375E0,9.702972565E0,-3.801195374E0,1.845961304E0,1.058321010E1
1.862081375E0,1.018541931E1,-1.068777466E-1,3.096161499E0,1.064614510E1
1.872155375E0,9.443562012E0,4.735103302E0,4.969964905E0,1.167487122E1
1.882229375E0,1.004680756E1,8.450227661E0,3.016676788E0,1.347015324E1
1.892304375E0,1.180864380E1,5.236710205E0,1.212927704E0,1.297452873E1
1.902378375E0,1.044647644E1,-2.168390808E0,2.429597626E0,1.094229105E1
1.912452375E0,1.252430557E1,-5.775739288E0,-1.057251434E0,1.383239585E1
1.922527375E0,1.627789993E1,-6.318959656E0,-3.068918152E0,1.772900268E1
1.932601375E0,1.656260788E1,-2.824326782E0,-2.506537628E0,1.698762881E1
1.942675375E0,1.485226456E1,1.951342163E0,-3.726800079E0,1.543653256E1
1.952750375E0,1.441846664E1,2.687511292E0,-3.889362030E0,1.517372842E1
