"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.285668583E0,9.068591766E0,-3.403023376E0,-3.659889221E-1,9.692980585E0
1.295689583E0,7.994275818E0,-4.061504059E0,-4.221221924E-1,8.976772706E0
1.305710583E0,6.593638458E0,-4.970713348E0,-6.598278809E-1,8.283684696E0
1.315730583E0,5.911207581E0,-7.000941467E0,-1.328936462E0,9.258597551E0
1.325751583E0,6.300697632E0,-8.374485168E0,-1.517693939E0,1.058934310E1
1.335772583E0,6.114035797E0,-6.051765289E0,-7.212002563E-1,8.632811052E0
1.345793583E0,4.089645538E0,-4.330794067E0,-3.844006348E-1,5.968981633E0
1.355814583E0,2.180964661E0,-3.185525665E0,-1.193019104E-1,3.862436221E0
1.365835583E0,1.059047699E0,-3.064277802E0,1.877096558E-1,3.247555294E0
1.375856583E0,2.604583740E-1,-3.725901947E0,1.021026764E0,3.872038163E0
1.385877583E0,-1.589694214E-1,-4.243974609E0,1.880090332E0,4.644494743E0
1.395897583E0,-5.715115356E-1,-4.664450226E0,3.181035004E0,5.674742729E0
1.405918583E0,-1.119521942E0,-5.161865845E0,4.365821228E0,6.852633317E0
1.415939583E0,-1.674418030E0,-5.979315948E0,5.261708221E0,8.138886187E0
1.425960583E0,-1.868264923E0,-7.065906372E0,6.523733826E0,9.796762205E0
1.435981583E0,-2.047741699E0,-7.989186401E0,7.497159576E0,1.114575018E1
1.446002583E0,-1.862726440E0,-8.872349854E0,7.595654755E0,1.182718533E1
1.456023583E0,-1.623074799E0,-1.034768188E1,6.826703796E0,1.250251082E1
1.466044583E0,-6.189628601E-1,-9.727970581E0,4.783901825E0,1.085827994E1
1.476064583E0,-4.631369019E-1,-7.729925537E0,2.893333282E0,8.266657250E0
1.486085583E0,-5.257067871E-1,-6.590644684E0,2.538571014E0,7.082182416E0
1.496106583E0,-1.772314453E-1,-5.601800995E0,3.407963104E0,6.559405300E0
1.506127583E0,2.630030823E-1,-4.515509949E0,3.970942383E0,6.018918850E0
1.516148583E0,3.607498169E-1,-3.895199890E0,4.021686859E0,5.610408881E0
1.526169583E0,5.429209900E-1,-3.789819031E0,3.761228485E0,5.366966667E0
1.536190583E0,8.569679260E-1,-6.544839935E0,3.435356140E0,7.441168968E0
