"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.245889250E0,-9.195378113E-1,-5.641767883E0,4.613106995E0,7.345464640E0
1.255927250E0,-8.669970703E-1,-4.262985077E0,3.220103760E0,5.412374147E0
1.265965250E0,-5.465135193E-1,-2.452949066E0,1.452429657E0,2.902617449E0
1.276004250E0,-1.764380951E0,-4.624034271E0,3.091371460E0,5.835350082E0
1.286042250E0,-3.461401978E0,-9.309740295E0,9.685309296E0,1.387291549E1
1.296080250E0,7.843688965E-1,-5.976322174E0,6.560257874E0,8.908908163E0
1.306118250E0,2.013163605E0,-3.255729675E0,3.196602631E0,4.987070462E0
1.316156250E0,-1.239721985E0,-8.455915833E0,8.978479156E0,1.239566501E1
1.326194250E0,-2.389031982E-1,-4.043840790E0,4.348157959E0,5.942743534E0
1.336232250E0,1.104702759E-1,-2.355352020E0,3.052452393E0,3.857117114E0
1.346271250E0,-1.927391968E0,-2.527943115E0,4.150868225E0,5.228292572E0
1.356309250E0,-2.669698334E0,-7.155120850E-1,4.907245331E0,5.632078078E0
1.366347250E0,-3.188369751E0,9.958790588E-1,5.163063354E0,6.149365819E0
1.376385250E0,-4.328848114E0,2.312990112E0,4.386927338E0,6.582855058E0
1.386423250E0,-5.334456940E0,2.944077759E0,1.788181458E0,6.349930521E0
1.396461250E0,-6.183940430E0,4.140390015E-1,2.662662964E0,6.745540867E0
1.406499250E0,-6.611301727E0,-1.676663361E0,3.109334106E0,7.495896820E0
1.416537250E0,-6.291117554E0,-3.414100342E0,2.084714813E0,7.455218110E0
1.426576250E0,-5.746549988E0,-4.506678314E0,1.437460785E0,7.443069239E0
1.436614250E0,-6.225104828E0,-6.236780548E0,4.818479919E-1,8.825051796E0
1.446652250E0,-6.487958221E0,-8.011639709E0,2.307601318E0,1.056432660E1
1.456690250E0,-6.392007751E0,-7.585775299E0,4.540807343E0,1.090966000E1
1.466728250E0,-6.076164551E0,-7.434889069E0,7.154671783E0,1.197441771E1
1.476766250E0,-4.705614624E0,-9.970915375E0,1.184052750E1,1.617900040E1
1.486804250E0,-4.937183075E0,-1.187824905E1,1.427117294E1,1.921288512E1
1.496843250E0,-3.462300110E0,-1.334474945E1,1.635274429E1,2.138883133E1
1.506881250E0,-5.339396667E0,-1.515254013E1,1.495075974E1,2.194615788E1
1.516919250E0,-6.162235565E0,-1.474388992E1,1.086799988E1,1.932534239E1
1.526957250E0,-3.143612823E0,-1.278656021E1,3.571722565E0,1.364315307E1
1.536995250E0,-2.130669250E0,-1.004126907E1,-2.245330811E-3,1.026483517E1
1.547033250E0,-1.314117279E0,-9.203610992E0,-1.811383209E0,9.471772202E0
1.557071250E0,-8.741821289E-2,-8.915609894E0,-4.637356567E-1,8.928090080E0
1.567110250E0,9.295669556E-2,-9.156608734E0,1.513352966E0,9.281290948E0
1.577148250E0,-8.006849670E-1,-9.973160706E0,3.640130310E0,1.064685773E1
1.587186250E0,-1.817370758E0,-1.051892578E1,4.299060059E0,1.150793437E1
1.597224250E0,-3.878584442E0,-1.161614410E1,4.168232117E0,1.293647479E1
1.607262250E0,-4.843178558E0,-1.638462799E1,5.411696320E0,1.792202193E1
1.617300375E0,-2.576591949E0,-1.736449036E1,4.860991516E0,1.821520217E1
1.627338375E0,-3.338357849E0,-1.435859116E1,-1.727407837E-1,1.474257822E1
1.637376375E0,-3.275039520E0,-1.247251328E1,-1.075214081E0,1.294007560E1
1.647415375E0,-1.854044495E0,-1.280362473E1,3.529660034E-1,1.294198100E1
1.657453375E0,-2.408491516E-1,-1.303654037E1,1.637145538E0,1.314114298E1
1.667491375E0,1.113085327E0,-1.298983749E1,2.306852875E0,1.323995496E1
1.677529375E0,3.330424347E0,-1.192989166E1,2.210004272E0,1.258165968E1
1.687567375E0,3.776047668E0,-1.161689255E1,1.269659729E0,1.228099199E1
1.697605375E0,2.569257202E0,-1.111723160E1,1.420096893E0,1.149828666E1
1.707643375E0,-4.351451111E-1,-1.070962921E1,2.627186737E0,1.103574281E1
1.717682375E0,-2.752625885E0,-1.072714279E1,4.921465759E0,1.211896724E1
1.727720375E0,-4.571194153E0,-1.048120422E1,6.579867096E0,1.319265360E1
1.737758375E0,-1.801503754E0,-8.795260162E0,5.551206207E0,1.055546813E1
1.747796375E0,4.158352661E0,-4.005670166E0,4.659510498E0,7.419456073E0
1.757834375E0,5.011877747E0,-2.893333282E0,4.483177185E-1,5.804419420E0
1.767872375E0,-4.167783051E0,-1.630065262E1,3.140619049E0,1.711564137E1
1.777910375E0,-3.741319885E0,-1.266591110E1,5.956712952E0,1.448810573E1
1.787949375E0,-1.186582489E0,-7.807464294E0,3.262765045E0,8.544595511E0
1.797987375E0,-5.949827271E0,-8.583151245E0,3.049757996E0,1.087988758E1
1.808025375E0,-8.090226288E0,-8.099057922E0,2.126777344E0,1.164343946E1
1.818063375E0,-7.350165253E0,-6.825356598E0,1.429676971E0,1.013185068E1
1.828101375E0,-8.807085571E0,-6.200705566E0,9.656419373E-1,1.081415601E1
1.838139375E0,-8.325986023E0,-5.287903748E0,1.054856415E0,9.919510641E0
1.848177375E0,-8.936266937E0,-4.907544708E0,1.989961853E0,1.038753147E1
1.858216375E0,-8.045319672E0,-4.696782990E0,1.914518738E0,9.510642516E0
1.868254375E0,-7.463629303E0,-4.430037689E0,1.062340851E0,8.744115986E0
1.878292375E0,-7.249873810E0,-4.360133057E0,1.257385254E0,8.552920449E0
1.888330375E0,-6.781497803E0,-4.205803986E0,1.335822144E0,8.090854121E0
1.898368375E0,-6.540049896E0,-4.566703491E0,3.746708679E-1,7.985449999E0
1.908406375E0,-5.882617035E0,-5.407355347E0,-3.303630066E-1,7.997112900E0
1.918444375E0,-5.134772186E0,-5.412893829E0,1.058299255E-1,7.461669048E0
1.928482375E0,-6.658303986E0,-5.364544373E0,1.309327240E0,8.650184166E0
1.938521375E0,-6.789580994E0,-4.856051788E0,2.503394165E0,8.714736450E0
1.948559375E0,-2.776127014E0,-7.193291473E0,2.275717621E0,8.039229696E0
1.958597375E0,3.298540649E0,-1.028256729E1,1.461261292E0,1.089710260E1
1.968635375E0,4.290228424E0,-1.129236740E1,2.223027191E0,1.228273061E1
1.978673375E0,4.539011078E0,-1.193767548E1,4.658312988E0,1.359450614E1
1.988711375E0,4.576882324E0,-1.229513214E1,5.763764191E0,1.432965819E1
1.998750375E0,3.556154938E0,-1.172856033E1,7.008725281E0,1.411834252E1
2.008788375E0,1.836231537E0,-1.107906097E1,7.359445953E0,1.342679348E1
2.018826375E0,-6.885681152E-2,-1.105002136E1,6.361770630E0,1.275067994E1
2.028864375E0,-1.704505463E0,-1.084973785E1,4.375850372E0,1.182244547E1
2.038902375E0,-1.945204926E0,-1.005773483E1,3.118315430E0,1.070820915E1
2.048940375E0,-1.400188293E0,-9.762099609E0,1.755998383E0,1.001711767E1
2.058978375E0,-1.366807709E0,-1.005638763E1,1.469494171E0,1.025468228E1
2.069016375E0,-1.087189178E0,-1.036684204E1,2.802771606E0,1.079392991E1
2.079055375E0,-8.821156311E-1,-1.049587372E1,4.352349243E0,1.139668535E1
2.089093375E0,-1.875749359E0,-1.070214478E1,5.470673676E0,1.216481027E1
2.099131375E0,-3.229234772E0,-1.075139236E1,5.251828766E0,1.239363144E1
2.109169375E0,-4.193080444E0,-1.037717056E1,4.720433807E0,1.214701971E1
2.119207375E0,-4.267775116E0,-9.945917358E0,4.592300262E0,1.175688727E1
2.129245375E0,-3.958667908E0,-1.031295410E1,5.034630432E0,1.213983433E1
2.139283375E0,-3.769161987E0,-1.068582870E1,5.157674561E0,1.244970377E1
2.149322375E0,-3.959266663E0,-1.059107574E1,4.476441193E0,1.216080605E1
2.159360375E0,-3.735931091E0,-9.835746460E0,3.819906464E0,1.119333618E1
2.169398375E0,-3.086731110E0,-8.777297516E0,4.071832581E0,1.015621392E1
2.179436375E0,-2.379002838E0,-7.654931488E0,4.172124023E0,9.036827400E0
2.189474375E0,-1.819017334E0,-6.733747101E0,3.716471558E0,7.903438171E0
2.199512375E0,-1.147064667E0,-5.859415283E0,2.834505615E0,6.609306083E0
2.209550375E0,-5.321434021E-1,-5.263504486E0,1.101259918E0,5.403742174E0
2.219589375E0,-9.979747009E-1,-5.391188965E0,3.153941345E-1,5.491843536E0
