"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.551659375E0,3.238814850E0,-5.193599854E0,4.595294037E0,7.653765632E0
2.561696375E0,2.140099640E0,-5.330864410E0,1.267863464E0,5.882654128E0
2.571734375E0,1.355281677E0,-5.149291992E0,1.305285645E-1,5.326258926E0
2.581772375E0,1.840123444E0,-3.987258453E0,7.902067566E-1,4.461917859E0
2.591810375E0,9.693841553E-1,-5.253325653E0,2.216740265E0,5.783690298E0
2.601847375E0,-8.617579651E-1,-8.020022278E0,4.104913788E0,9.050618837E0
2.611885375E0,-2.827619934E0,-1.144983994E1,5.600154419E0,1.305587985E1
2.621923375E0,-4.585863647E0,-1.461515762E1,6.294560394E0,1.656063007E1
2.631960375E0,-6.175408173E0,-1.685554871E1,5.650749207E0,1.881956840E1
2.641998375E0,-7.253616028E0,-1.842114304E1,3.884122925E0,2.017522905E1
2.652036375E0,-6.924450531E0,-1.863923950E1,2.125430145E0,1.999716774E1
2.662074375E0,-4.874463501E0,-1.675840073E1,8.306227112E-1,1.747267362E1
2.672111375E0,-1.776655426E0,-1.382420242E1,4.393363953E-1,1.394482318E1
2.682149375E0,-2.814147949E-1,-1.186762115E1,1.651216278E0,1.198524682E1
2.692187375E0,-5.788462830E-1,-1.111932724E1,3.164269867E0,1.157527991E1
2.702225375E0,-1.204545135E0,-1.072025711E1,4.221670990E0,1.158435788E1
2.712262375E0,-1.557960205E0,-1.038675064E1,4.867128754E0,1.157587021E1
2.722300375E0,-1.922452240E0,-1.013557297E1,5.344037018E0,1.161827843E1
2.732338375E0,-2.168390808E0,-9.675130463E0,5.740412750E0,1.145698070E1
2.742376375E0,-1.871258698E0,-8.872948608E0,5.501808929E0,1.060663602E1
2.752413375E0,-1.423090668E0,-8.030650177E0,4.864434357E0,9.496275634E0
2.762451375E0,-8.867559814E-1,-7.217241669E0,4.041894836E0,8.319364600E0
2.772489375E0,5.448669434E-2,-6.273304596E0,3.538940735E0,7.202875876E0
2.782527375E0,1.079105988E0,-5.334606628E0,3.633843384E0,6.544258197E0
2.792564375E0,2.028431854E0,-4.649780731E0,3.630550232E0,6.238260304E0
2.802602375E0,2.678979034E0,-4.383933563E0,3.324885864E0,6.119695104E0
2.812640375E0,2.772983551E0,-4.655917969E0,2.927761688E0,6.159447898E0
2.822678500E0,2.253114624E0,-5.454956360E0,2.606529694E0,6.451904482E0
2.832715500E0,1.662592621E0,-6.414610748E0,2.383643188E0,7.042243969E0
2.842753500E0,1.345551910E0,-7.148235168E0,2.273771667E0,7.620880104E0
2.852791500E0,8.135581970E-1,-8.283324738E0,2.296524353E0,8.634197690E0
2.862828500E0,-9.954299927E-2,-1.027208908E1,2.331850891E0,1.053390960E1
2.872866500E0,1.802252197E-1,-1.052910461E1,2.715054016E0,1.087501924E1
2.882904500E0,1.192270660E0,-8.851842499E0,3.511697388E0,9.597324809E0
2.892942500E0,8.452922058E-1,-8.827443237E0,4.684508514E0,1.002910230E1
2.902979500E0,4.828958130E-1,-9.340127106E0,5.388195190E0,1.079369307E1
2.913017500E0,3.876937866E-1,-9.600136414E0,5.307363281E0,1.097638513E1
2.923055500E0,3.393443298E-1,-9.313632202E0,4.696333923E0,1.043620868E1
2.933093500E0,5.927673340E-2,-8.711883545E0,3.801045685E0,9.505176323E0
2.943130500E0,-4.505630493E-1,-7.745193787E0,3.183729401E0,8.386129426E0
2.953168500E0,7.200027466E-2,-3.020718384E0,2.971321106E0,4.237767420E0
2.963206500E0,6.104306030E-1,3.209026794E0,2.559527435E0,4.149898695E0
2.973244500E0,-1.784588928E0,-1.173110504E0,3.281326447E0,3.915105254E0
2.983281500E0,-5.687872009E0,-1.058898010E1,4.386627960E0,1.279534652E1
2.993319500E0,-9.164392548E0,-1.749531830E1,3.409609680E0,2.004239734E1
3.003357500E0,-8.235723724E0,-1.704071365E1,2.309696960E0,1.906692862E1
3.013395500E0,-5.196294250E0,-1.421653656E1,2.130519562E0,1.528563048E1
3.023432500E0,-2.656076660E0,-1.523007889E1,3.717818756E0,1.590069880E1
3.033470500E0,-1.315614166E0,-1.690689194E1,5.710624695E0,1.789371594E1
3.043508500E0,-6.265969849E-1,-1.684911209E1,7.036268005E0,1.827003748E1
3.053545500E0,-7.075785828E-1,-1.593720840E1,7.097041626E0,1.746033445E1
3.063583500E0,-1.151555328E0,-1.386297180E1,5.422773285E0,1.493032273E1
3.073621500E0,-1.636696472E0,-1.246158600E1,3.464695129E0,1.303740823E1
3.083659500E0,-1.781595154E0,-1.173305099E1,1.899250488E0,1.201855729E1
3.093696500E0,-1.473236389E0,-1.122171432E1,7.327262878E-1,1.134170118E1
3.103734500E0,-2.107168121E0,-1.243598923E1,6.971003723E-1,1.263249518E1
3.113772500E0,-2.210752716E0,-1.297322205E1,1.413510590E0,1.323593329E1
3.123810500E0,-1.463806000E0,-1.236743179E1,1.815424805E0,1.258538297E1
3.133847500E0,-6.328839111E-1,-1.178304703E1,1.974394226E0,1.196407004E1
3.143885500E0,-7.499404907E-2,-1.141196869E1,2.495310974E0,1.168183335E1
3.153923500E0,-1.442999268E-1,-1.124252106E1,2.909799042E0,1.161387242E1
3.163960500E0,-5.777984619E-2,-1.037986496E1,3.314856720E0,1.089647696E1
3.173998500E0,2.264790344E-1,-9.459578705E0,3.554358673E0,1.010783793E1
3.184036500E0,4.315525818E-1,-8.717272339E0,3.717968445E0,9.486852166E0
3.194074500E0,8.599617004E-1,-7.583529968E0,4.149371338E0,8.687159686E0
3.204111500E0,1.678459625E0,-6.217770081E0,4.282294922E0,7.734076628E0
3.214149500E0,2.032473450E0,-5.286556549E0,3.876488800E0,6.863366076E0
3.224187500E0,1.531764679E0,-5.184319153E0,3.360062714E0,6.365020782E0
3.234225500E0,6.532415771E-1,-5.818999329E0,3.093467102E0,6.622463020E0
3.244262500E0,-5.971083069E-1,-6.673572235E0,3.193908234E0,7.422543669E0
